project_key,project_url,project_type,languages,complexoty,bugs,code_smell,ncloc,violations
JMousqueton_boamp-extractor,https://github.com/JMousqueton/boamp-extractor,github,py|web|,43,0,43,301,43
JMousqueton_Cyber-News-Bot,https://github.com/JMousqueton/Cyber-News-Bot,github,py|,7,0,1,48,1
tigocho_appviaticos,https://github.com/tigocho/appviaticos,github,css|go|js|json|php|py|web|xml|yaml|,41810,3216,37249,569393,40485
timo-reymann_python-script-background-music,https://github.com/timo-reymann/python-script-background-music,github,json|py|,33,0,0,193,0
timo-reymann_rind,https://github.com/timo-reymann/rind,github,go|json|py|terraform|,8,0,0,155,0
timsavage_combined-energy-api,https://github.com/timsavage/combined-energy-api,github,py|,62,0,9,598,9
toandaominh1997_grow,https://github.com/toandaominh1997/grow,github,abap|css|go|js|json|kotlin|php|py|scala|swift|terraform|ts|web|xml|yaml|,1813,206,310,26278,517
tobiaxs_frost-shard,https://github.com/tobiaxs/frost-shard,github,py|yaml|,114,0,5,970,5
tomeko12_pyelectroluxconnect,https://github.com/tomeko12/pyelectroluxconnect,github,py|,201,0,109,938,109
toms-code-katas_ci-scripts,https://github.com/toms-code-katas/ci-scripts,github,json|py|yaml|,226,0,28,1073,28
tomwillis608_ssacc,https://github.com/tomwillis608/ssacc,github,json|py|yaml|,222,0,24,1823,24
tooruu_arabot,https://github.com/tooruu/arabot,github,json|py|,1084,0,27,5143,27
ToucanToco_toucan-connectors,https://github.com/ToucanToco/toucan-connectors,github,py|,1253,0,124,9530,124
TrueFlasher_pr5,https://github.com/TrueFlasher/pr5,github,py|,1,0,0,17,0
trustedshops-public_python-mailtrap-handler,https://github.com/trustedshops-public/python-mailtrap-handler,github,json|py|,13,0,0,69,0
tushar-sharma_tushar-sharma.github.io,https://github.com/tushar-sharma/tushar-sharma.github.io,github,css|js|json|py|ruby|scala|web|xml|yaml|,761,5037,1983,59140,7020
twcc_TWCC-CLI,https://github.com/twcc/TWCC-CLI,github,py|yaml|,1205,0,322,5086,322
twilio_twilio-python,https://github.com/twilio/twilio-python,github,py|,624,0,9,2306,9
